,Date,Province_State,Days,Growth Rate,New cases,Total cases
488,2020-01-30,Maryland,8,0.0,0,0
489,2020-01-30,Massachusetts,8,0.0,0,0
490,2020-01-30,Michigan,8,0.0,0,0
491,2020-01-30,Minnesota,8,0.0,0,0
492,2020-01-30,Mississippi,8,0.0,0,0
493,2020-01-30,Missouri,8,0.0,0,0
494,2020-01-30,Montana,8,0.0,0,0
495,2020-01-30,Nebraska,8,0.0,0,0
496,2020-01-30,Nevada,8,0.0,0,0
497,2020-01-30,New Hampshire,8,0.0,0,0
498,2020-01-30,New Jersey,8,0.0,0,0
499,2020-01-30,New Mexico,8,0.0,0,0
500,2020-01-30,New York,8,0.0,0,0
501,2020-01-30,North Carolina,8,0.0,0,0
502,2020-01-30,North Dakota,8,0.0,0,0
503,2020-01-30,Northern Mariana Islands,8,0.0,0,0
504,2020-01-30,Ohio,8,0.0,0,0
505,2020-01-30,Oklahoma,8,0.0,0,0
506,2020-01-30,Oregon,8,0.0,0,0
507,2020-01-30,Pennsylvania,8,0.0,0,0
508,2020-01-30,Puerto Rico,8,0.0,0,0
509,2020-01-30,Rhode Island,8,0.0,0,0
510,2020-01-30,South Carolina,8,0.0,0,0
511,2020-01-30,South Dakota,8,0.0,0,0
512,2020-01-30,Tennessee,8,0.0,0,0
513,2020-01-30,Texas,8,0.0,0,0
514,2020-01-30,Utah,8,0.0,0,0
515,2020-01-30,Vermont,8,0.0,0,0
516,2020-01-30,Virgin Islands,8,0.0,0,0
517,2020-01-30,Virginia,8,0.0,0,0
518,2020-01-30,Washington,8,0.0,0,0
519,2020-01-30,West Virginia,8,0.0,0,0
520,2020-01-30,Wisconsin,8,0.0,0,0
521,2020-01-30,Wyoming,8,0.0,0,0
522,2020-01-31,Alabama,9,0.0,0,0
523,2020-01-31,Alaska,9,0.0,0,0
524,2020-01-31,American Samoa,9,0.0,0,0
525,2020-01-31,Arizona,9,0.0,0,0
526,2020-01-31,Arkansas,9,0.0,0,0
527,2020-01-31,California,9,0.0,0,0
528,2020-01-31,Colorado,9,0.0,0,0
529,2020-01-31,Connecticut,9,0.0,0,0
530,2020-01-31,Delaware,9,0.0,0,0
531,2020-01-31,Diamond Princess,9,0.0,0,0
532,2020-01-31,District of Columbia,9,0.0,0,0
533,2020-01-31,Florida,9,0.0,0,0
534,2020-01-31,Georgia,9,0.0,0,0
535,2020-01-31,Grand Princess,9,0.0,0,0
536,2020-01-31,Guam,9,0.0,0,0
537,2020-01-31,Hawaii,9,0.0,0,0
538,2020-01-31,Idaho,9,0.0,0,0
539,2020-01-31,Illinois,9,0.0,0,0
540,2020-01-31,Indiana,9,0.0,0,0
541,2020-01-31,Iowa,9,0.0,0,0
542,2020-01-31,Kansas,9,0.0,0,0
543,2020-01-31,Kentucky,9,0.0,0,0
544,2020-01-31,Louisiana,9,0.0,0,0
545,2020-01-31,Maine,9,0.0,0,0
546,2020-01-31,Maryland,9,0.0,0,0
547,2020-01-31,Massachusetts,9,0.0,0,0
548,2020-01-31,Michigan,9,0.0,0,0
549,2020-01-31,Minnesota,9,0.0,0,0
550,2020-01-31,Mississippi,9,0.0,0,0
551,2020-01-31,Missouri,9,0.0,0,0
552,2020-01-31,Montana,9,0.0,0,0
553,2020-01-31,Nebraska,9,0.0,0,0
554,2020-01-31,Nevada,9,0.0,0,0
555,2020-01-31,New Hampshire,9,0.0,0,0
556,2020-01-31,New Jersey,9,0.0,0,0
557,2020-01-31,New Mexico,9,0.0,0,0
558,2020-01-31,New York,9,0.0,0,0
559,2020-01-31,North Carolina,9,0.0,0,0
560,2020-01-31,North Dakota,9,0.0,0,0
561,2020-01-31,Northern Mariana Islands,9,0.0,0,0
